time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
7.537295,-0.6847,0.1175,-1.1863,1.375
7.578606,0.6588,1.1074,-2.3082,2.643
7.579687,0.6588,1.1074,-2.3082,2.643
7.609369,0.2116,1.0033,-1.2432,1.611
7.620119,0.0294,0.7848,-0.9268,1.215
7.63764,-0.4236,0.5207,-0.4321,0.798
7.671976,0.0155,0.1393,0.4331,0.455
7.704547,0.4032,0.3004,0.9394,1.065
7.705275,0.4032,0.3004,0.9394,1.065
7.719515,0.52,0.4408,1.1047,1.298
7.74056,0.4489,0.6173,0.8922,1.174
7.77222,0.2776,0.7051,-0.2885,0.811
7.801849,0.5303,0.7574,0.0348,0.925
7.803347,0.7054,0.6309,0.2884,0.989
7.822473,1.1282,0.0902,1.0956,1.575
7.842302,0.9526,-0.4693,2.1306,2.381
7.875472,-0.1968,-0.843,1.8765,2.067
7.909222,-0.8244,0.5376,-0.5208,1.113
7.910283,-0.8244,0.5376,-0.5208,1.113
7.924194,-0.2854,0.8285,-0.0126,0.876
7.947198,0.4946,0.1511,1.9227,1.991
7.975485,0.2779,-0.8977,2.9191,3.067
8.008505,-1.064,-1.0203,0.5488,1.573
8.009512,-1.1919,-1.0287,0.0713,1.576
8.026303,-1.4612,-0.7096,-1.3265,2.097
8.046615,-1.4627,-0.4972,-2.7168,3.125
8.07782,-0.9475,0.1524,-2.7144,2.879
8.109169,0.0464,-0.7149,-1.2822,1.469
8.109776,0.0464,-0.7149,-1.2822,1.469
8.128498,-0.1116,-1.1303,-0.5435,1.259
8.151744,-0.7029,-1.2136,0.3741,1.451
8.182243,-1.155,-0.9575,0.1646,1.509
8.205463,-0.8821,-0.3288,-1.0449,1.406
8.213681,-0.7741,-0.1701,-1.3043,1.526
8.232495,-0.2754,0.4931,-1.6888,1.781
8.253352,0.5658,0.5865,-1.4164,1.634
8.279082,0.7051,0.7232,-1.2677,1.621
8.311892,0.1703,0.3847,-0.6258,0.754
8.326525,-0.1629,0.2267,-0.1318,0.309
8.342874,-0.465,0.1395,0.4189,0.641
8.362262,-0.3958,-0.0464,0.9328,1.014
8.377446,-0.0749,-0.2486,0.8084,0.849
8.398317,0.4814,-0.2248,0.1504,0.552
8.432453,0.1809,0.1586,1.0609,1.088
8.445271,0.1881,-0.1396,1.396,1.416
8.461754,0.0384,-0.4511,1.8954,1.949
8.478755,-0.072,-0.5466,2.2964,2.362
8.499615,-0.4078,-0.1597,2.7061,2.741
8.528706,-0.0607,0.2282,1.5261,1.544
8.547629,1.0766,-0.0258,1.116,1.551
8.567458,1.6009,-0.3027,1.4138,2.157
8.583465,1.1608,-0.3062,1.3019,1.771
8.603203,0.3012,-0.4014,0.3093,0.589
8.648775,-0.1876,-0.4335,-2.0337,2.088
8.650172,-0.1876,-0.4335,-2.0337,2.088
8.669418,0.3123,-0.4242,-2.1605,2.224
8.685671,0.7121,-0.4455,-1.9274,2.102
8.703537,0.7938,-0.3353,-0.8773,1.23
8.732668,0.6472,-0.6206,-0.1214,0.905
8.75124,0.3535,-0.4019,-0.3194,0.623
8.769291,0.1664,-0.0084,-0.6931,0.713
8.787416,0.1686,0.3926,-0.6094,0.744
8.804752,0.1921,0.5585,-0.343,0.683
8.843614,-0.0199,0.7622,-0.392,0.857
8.869298,0.0163,0.801,-0.8952,1.201
8.869929,0.0163,0.801,-0.8952,1.201
8.889108,0.2055,0.7587,-1.1364,1.382
8.908794,0.3656,0.645,-1.0465,1.282
8.939591,0.333,0.4532,0.1986,0.596
8.953357,0.2192,0.301,0.7715,0.857
8.96881,0.2137,0.1322,1.0586,1.088
9.006452,0.1511,0.5198,0.42,0.685
9.007712,0.1368,0.5919,0.2855,0.671
9.041878,0.2212,0.7851,-0.1932,0.838
9.052347,0.2617,0.7402,-0.0613,0.788
9.070112,0.2544,0.534,0.3834,0.705
9.089056,0.2574,0.3059,1.2532,1.315
9.115839,0.5918,-0.435,2.3468,2.459
9.145163,0.3599,-0.4615,2.8076,2.868
9.154543,-0.0313,-0.1392,2.284,2.288
9.171299,-0.2913,-0.2107,1.0421,1.102
9.19128,-0.7987,-0.004,-0.3804,0.885
9.21525,-0.8548,0.3189,-0.208,0.936
9.250558,-0.3316,-0.4077,1.5259,1.614
9.258979,-0.3729,-0.4555,1.4904,1.603
9.273371,-0.7476,-0.4564,0.8419,1.215
