time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
7.001598,-1.8325,0.5129,3.8889,4.33
7.021971,-2.1376,1.2724,3.6813,4.443
7.053044,-2.2476,2.1648,2.2458,3.845
7.065365,-2.2701,2.2791,1.7545,3.664
7.082629,-1.6415,1.8615,1.6502,2.98
7.103787,-0.4416,0.8432,1.3062,1.616
7.123041,0.5384,-0.0472,1.1619,1.281
7.149556,0.5532,-0.5182,1.0001,1.255
7.164421,0.2822,-0.2808,0.9433,1.024
7.184289,0.084,0.0153,0.7477,0.753
7.204437,-0.262,0.4893,0.3521,0.657
7.22517,-0.7997,1.1123,0.1,1.374
7.249935,-1.2687,1.2238,-0.0554,1.764
7.266247,-1.6105,1.0366,0.0171,1.915
7.285459,-1.5206,0.4798,0.2911,1.621
7.305862,-1.3149,0.1015,0.3464,1.364
7.32611,-0.9379,-0.1406,0.2987,0.994
7.349254,-0.588,-0.1746,-0.2301,0.655
7.366497,-0.5523,-0.213,-0.6914,0.91
7.386851,-0.4618,-0.2918,-1.1117,1.239
7.407531,-0.5027,-0.2182,-1.315,1.425
7.427542,-0.353,0.0264,-1.3523,1.398
7.45629,0.2232,0.3434,-1.6426,1.693
7.469507,0.6873,0.3985,-1.8579,2.021
7.488392,1.2912,0.6011,-1.8482,2.333
7.509639,1.2431,1.312,-1.3442,2.252
7.529824,0.9288,1.5867,-1.2485,2.222
7.555482,1.338,1.5121,-1.4934,2.511
7.572779,1.6654,1.9921,-0.8729,2.739
7.590381,2.4443,2.3026,0.3196,3.373
7.61113,3.2003,3.063,0.69,4.483
7.631053,2.8876,3.3751,1.2161,4.605
7.654559,1.3983,1.8154,0.9404,2.477
7.671351,-0.118,0.1606,0.2479,0.318
7.691466,-1.456,-1.1556,0.4176,1.905
7.711766,-1.9139,-2.1314,1.1181,3.075
7.73318,-2.3955,-2.9932,2.5742,4.618
7.75562,-2.7263,-2.9695,2.9279,4.982
7.774183,-2.507,-2.5,2.673,4.436
7.794193,-1.5293,-1.3898,2.6163,3.334
7.815878,-0.2549,-0.2546,2.238,2.267
7.838485,1.2784,0.1512,0.9168,1.58
7.858737,1.6657,0.2434,0.1319,1.689
7.878901,1.0601,0.4067,-0.0157,1.136
7.899015,-0.3784,0.2244,-0.1634,0.469
7.919487,-0.7647,-0.382,-0.3266,0.915
7.939651,-0.8493,-0.8553,-0.5318,1.317
7.962214,-1.0703,-0.897,-0.3541,1.441
7.980279,-0.9047,-0.6029,-0.1313,1.095
8.000389,-0.9393,-0.4324,0.0793,1.037
8.02065,-1.0995,-0.7578,0.1642,1.345
8.041345,-1.2675,-1.2607,0.2869,1.811
8.061056,-0.9527,-1.2686,0.3017,1.615
8.081098,-0.4253,-0.8059,-0.027,0.912
8.101466,-0.0509,-0.3315,-0.7279,0.801
8.122009,-0.1199,0.041,-1.7368,1.741
