time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.04592,1.9303,-1.5091,5.6245,6.135
4.056395,1.5878,-1.4152,3.6889,4.258
4.074985,0.9717,-0.4635,-0.6543,1.26
4.090724,0.82,0.2582,-2.5688,2.709
4.123246,1.2298,0.6646,-3.0409,3.347
4.14074,1.0922,0.9926,-2.9218,3.273
4.153793,0.7104,0.8602,-2.8988,3.106
4.171455,0.6803,0.5705,-2.6313,2.777
4.192693,0.8478,0.0361,-1.9318,2.11
4.224698,1.0462,-0.5403,-0.7844,1.415
4.247375,1.107,-0.8606,0.1962,1.416
4.256017,1.0792,-0.9316,0.6926,1.585
4.274015,0.9041,-0.85,1.3467,1.831
4.294907,0.7464,-0.8133,0.8739,1.408
4.323417,0.3948,-0.1505,-1.0012,1.087
4.341707,0.4771,0.2617,-1.1925,1.311
4.355525,0.7637,0.5013,-0.6815,1.14
4.374925,1.0124,0.5219,-0.0329,1.139
4.3956,1.0217,0.0039,0.5479,1.159
4.423143,0.7997,-0.5584,1.4226,1.725
4.444682,0.2438,-0.2805,0.61,0.714
4.457371,-0.0902,-0.1821,-0.3315,0.389
4.477505,-0.6496,0.0547,-2.2334,2.327
4.497775,-0.6341,0.5071,-2.7838,2.9
4.524266,-0.5227,0.9161,-1.707,2.007
4.546474,-0.6361,0.9796,-1.1878,1.666
4.560216,-0.5865,1.0929,-1.3456,1.83
4.579353,-0.4796,1.338,-1.5391,2.095
4.600377,-0.2329,1.4404,-1.4452,2.054
4.632105,-0.3857,0.9295,-0.3764,1.074
4.653675,-0.2919,1.0066,-0.3698,1.111
4.67686,0.5477,0.8835,-1.4314,1.769
4.69052,0.6717,0.723,-1.8866,2.129
4.706157,0.7263,0.3654,-1.6811,1.867
4.725962,0.9609,-0.4222,-0.1743,1.064
4.758934,-0.115,-0.9834,0.9845,1.396
4.779157,-1.4778,-0.9733,0.0684,1.771
4.787391,-1.3447,-1.0396,0.0279,1.7
4.803359,-0.8909,-1.6663,1.1793,2.227
4.824184,0.1075,-2.0963,4.5996,5.056
4.857435,-2.2956,-1.7032,5.2761,6.001
4.881207,-2.295,-1.1212,2.1767,3.356
4.887637,-0.4523,-1.208,1.9119,2.306
4.905631,2.6937,-1.1334,5.0061,5.797
4.926286,1.6203,-0.4838,7.9425,8.121
4.95735,-0.3877,-1.0793,3.8226,3.991
4.982287,-0.3167,0.3171,-0.6976,0.829
4.990903,-0.2298,0.6037,-1.2742,1.429
5.008096,0.1505,0.9241,-2.4024,2.578
5.02893,0.2385,0.2558,-2.8906,2.912
5.057113,-0.2379,0.2405,-2.8116,2.832
5.076932,-0.208,0.5429,-2.3344,2.406
5.088829,-0.1186,0.6154,-2.3236,2.407
5.108672,-0.1252,0.4394,-2.2424,2.288
5.129129,-0.2078,0.0094,-1.4899,1.504
5.156577,-0.6063,-0.8601,1.0625,1.495
5.176777,-0.8579,-0.8753,2.2251,2.54
5.191872,-1.0685,-0.7938,2.6104,2.93
5.210404,-1.0848,-0.5492,1.8214,2.19
5.231356,-1.027,-0.2296,0.0571,1.054
5.255537,-0.3718,0.4078,-1.1827,1.305
5.275923,0.2112,0.6486,-0.9598,1.177
5.292004,0.2901,0.5119,-0.6475,0.875
5.311783,0.1527,0.2104,-0.8126,0.853
5.333153,-0.1565,0.2033,-1.8428,1.861
5.355627,0.0877,0.2728,-2.6867,2.702
5.377038,0.3359,0.4476,-2.791,2.847
5.393746,0.3226,0.4097,-2.4207,2.476
5.413596,-0.1767,0.4319,-2.6188,2.66
5.433956,-0.7579,0.5664,-3.146,3.285
5.456815,-0.7983,0.781,-3.1206,3.314
5.47888,-0.4716,0.7827,-1.8712,2.082
5.4944,-0.5897,0.6457,-1.2659,1.539
5.514626,-1.0574,0.6285,-0.5573,1.35
5.538577,-0.9231,0.45,0.3831,1.096
5.574799,-1.1327,0.3898,1.931,2.272
5.593801,-1.6671,0.2558,1.6491,2.359
5.60352,-1.7395,0.0991,1.2851,2.165
5.620385,-1.9135,0.0544,0.9121,2.12
5.640303,-2.0182,0.2143,1.2796,2.399
5.673095,-1.1621,-0.2732,3.5698,3.764
5.692667,-0.1049,-0.7495,4.6114,4.673
5.704275,0.3387,-1.179,4.7799,4.935
5.720932,-0.9666,-0.5624,3.6324,3.801
5.740816,-0.8428,-0.512,2.4956,2.683
5.773276,2.5942,-1.8297,6.2725,7.03
5.792861,2.557,-1.483,7.3847,7.954
5.804333,2.2445,-1.4312,6.1569,6.708
5.822158,1.2912,-1.1037,1.6667,2.38
5.843346,0.5243,-0.0645,-2.5327,2.587
5.873978,0.1809,0.9485,-4.2817,4.389
5.895228,0.1606,0.8031,-3.3848,3.482
5.903513,0.1167,0.694,-3.3521,3.425
5.924162,-0.2654,0.5148,-3.1394,3.192
5.944383,-0.3219,0.5756,-2.6998,2.779
5.973817,0.4546,0.0382,-1.6521,1.714
5.995216,0.8048,-0.2945,-0.4981,0.991
6.00435,0.9845,-0.5077,0.3514,1.162
6.026332,1.5745,-0.9996,2.5037,3.122
6.045852,1.6041,-1.0071,3.1949,3.714
6.066409,1.2257,-0.9193,1.7058,2.293
6.090188,0.7036,-0.4229,-0.9696,1.27
6.122217,1.4944,0.1199,-0.9548,1.777
6.139617,1.9002,-0.3904,0.4086,1.982
6.153909,1.604,-0.7727,0.9774,2.031
6.171657,1.0489,-0.9759,0.2977,1.463
6.19016,0.5945,-0.8754,-1.8418,2.124
