time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
7.527737,-0.1983,0.2973,-1.2165,1.268
7.5404,0.1184,0.3974,-1.1517,1.224
7.55891,-0.638,0.4101,-1.0125,1.265
7.580321,-1.7821,0.2702,-0.8163,1.979
7.600857,-2.6031,0.3793,-0.9088,2.783
7.624942,-2.3516,0.8515,-1.2705,2.805
7.641362,-2.0709,1.1716,-1.4492,2.786
7.662407,-1.661,1.4133,-1.126,2.454
7.682895,-0.8208,1.6637,-0.4186,1.902
7.703435,0.2728,1.897,0.3636,1.951
7.734058,8.3875,0.8958,3.4551,9.115
7.748941,13.5266,-1.5034,3.9849,14.181
7.764867,13.3966,-3.5163,1.7446,13.96
7.784571,6.2134,-4.6877,0.808,7.825
7.808419,1.5518,-4.1066,-0.2624,4.398
7.83133,3.458,-2.13,1.1532,4.222
7.844881,2.8526,-1.6853,1.0797,3.485
7.865321,0.5299,-0.5143,0.841,1.119
7.885809,-1.5135,0.9737,1.1103,2.115
7.905936,-3.7388,2.1321,2.5254,4.99
7.93157,-4.2137,1.666,2.4447,5.148
7.946037,-3.4684,0.6464,1.6312,3.887
7.9674,-2.9878,-0.7986,0.7011,3.171
7.987747,-2.2889,-1.8867,0.3666,2.989
8.007886,-1.4189,-2.2139,-0.1135,2.632
8.034154,-0.9771,-1.5904,-1.0706,2.152
8.047289,-0.8928,-1.2324,-1.3989,2.067
8.067655,-0.6972,-0.4096,-1.6403,1.829
8.088013,-0.4562,0.455,-1.4972,1.63
8.109136,0.2938,0.4522,-1.5533,1.644
8.128599,0.6988,-0.0448,-1.8363,1.965
8.149431,0.5403,-0.3554,-2.1289,2.225
8.169882,-0.0515,-0.4197,-1.9001,1.947
8.190132,-1.0432,-0.247,-1.4314,1.788
8.210463,-1.9071,-0.2396,-1.0797,2.205
8.230333,-2.8201,-0.5286,-1.1205,3.08
8.251007,-3.2198,-0.862,-1.1339,3.521
8.270841,-3.1783,-1.1337,-1.08,3.543
8.291902,-2.8147,-1.533,-0.8832,3.325
8.312674,-2.5038,-1.7091,-0.6053,3.091
8.331614,-2.3129,-1.8208,-0.7996,3.05
8.352031,-2.0035,-1.8295,-1.0254,2.9
8.371872,-1.5997,-1.5823,-1.3323,2.615
8.393018,-1.3518,-1.1518,-1.3059,2.204
8.41284,-0.2651,-1.5748,-0.7849,1.779
8.434765,2.397,-2.2935,0.2882,3.33
8.453563,6.2418,-1.9526,1.803,6.784
8.474783,10.6089,2.0688,5.6246,12.185
8.502947,6.8873,7.1297,3.7561,10.601
8.515013,3.658,5.9585,1.6775,7.19
8.539492,2.3284,0.8118,-0.8725,2.616
8.555001,3.6477,-1.0448,-0.567,3.837
8.575322,5.3134,-2.8746,1.622,6.255
8.595712,2.6932,-1.6521,1.4245,3.466
8.616,-0.2083,-0.1872,0.9996,1.038
8.63602,-1.4428,-0.0744,0.7453,1.626
8.656762,-2.0751,-0.5304,0.5621,2.214
8.676926,-2.8112,-0.94,0.7728,3.063
8.697485,-3.4907,-0.6331,1.4575,3.835
8.717896,-3.6419,0.1659,1.7122,4.028
8.737787,-3.4994,0.7975,1.9371,4.078
8.758319,-2.9306,1.161,1.9102,3.686
8.778355,-2.0666,1.2067,1.432,2.789
8.798533,-0.8697,1.0607,0.7306,1.554
8.818869,-0.0025,0.8555,0.3366,0.919
8.842419,0.3705,-0.0615,-0.8793,0.956
8.858855,0.141,-0.7072,-1.4308,1.602
8.880388,-0.2179,-1.1486,-1.8888,2.221
8.899706,-0.0739,-0.7846,-2.0575,2.203
8.920279,0.0442,-0.2993,-2.2572,2.277
8.940689,-0.2487,-0.1235,-2.1025,2.121
8.960701,-0.6071,-0.0925,-1.3231,1.459
8.984723,-1.1961,-0.0293,-0.657,1.365
9.005116,-1.8072,0.0589,-0.2758,1.829
9.02878,-2.3796,0.3332,-0.2412,2.415
9.044782,-2.6653,0.3059,-0.5411,2.737
9.065965,-3.256,-0.3466,-1.4222,3.57
9.086548,-3.3235,-1.0529,-1.9427,3.991
9.106263,-2.5128,-0.9944,-2.0701,3.404
9.133027,-1.3633,0.2481,-2.0844,2.503
9.148452,-1.1502,1.098,-2.1253,2.654
9.167437,-1.2465,2.282,-1.7769,3.149
9.187013,-0.6531,2.7599,-0.7041,2.922
9.207125,0.8406,2.2212,1.0145,2.583
9.232685,3.3744,3.0702,3.9374,6.026
9.247889,3.9919,3.5068,4.9455,7.259
9.268922,6.2221,0.7611,4.4206,7.67
9.2924,10.3312,-5.2695,2.8892,11.952
9.31711,9.7839,-7.9774,4.8527,13.525
9.339014,5.5964,-6.0271,2.9785,8.747
9.357456,1.2083,-2.002,0.2449,2.351
9.376235,-0.9954,1.1061,0.3311,1.524
9.396235,-1.8953,1.716,1.8395,3.15
9.41771,-2.3883,0.7618,1.9941,3.203
9.438068,-3.2696,-0.7654,1.6322,3.734
9.457815,-4.003,-1.4991,0.9415,4.377
9.479367,-4.3951,-1.7115,-0.1122,4.718
9.499526,-3.9557,-1.6448,-0.966,4.392
9.521391,-2.788,-1.5646,-1.6622,3.603
9.54199,-0.2744,-1.0463,-1.8979,2.185
9.563365,1.0459,-0.2886,-1.8563,2.15
9.583603,1.9422,0.4962,-1.7581,2.666
9.604623,2.0027,0.7349,-1.8236,2.807
9.640214,0.9548,-0.6492,-1.9159,2.237
9.655744,0.8937,-1.2878,-2.022,2.558
9.670141,0.8265,-1.6486,-2.2688,2.924
9.690448,0.5995,-1.4349,-2.2348,2.723
9.711235,0.447,-0.7786,-1.7613,1.977
9.740172,0.6498,0.1373,-0.8464,1.076
9.753104,1.0492,0.0358,-0.576,1.197
9.772655,1.5622,-1.3818,-1.078,2.348
9.792372,1.8715,-2.8973,-1.3802,3.715
9.81338,3.6816,-3.9489,-1.0519,5.5
9.83626,5.4957,-5.347,0.6303,7.694
9.853849,3.5333,-3.4956,2.6021,5.61
9.873499,0.1377,-0.6831,1.6499,1.791
9.894944,-1.5781,0.6936,2.1594,2.763
9.914957,-2.4677,1.3864,1.7738,3.34
9.936252,-2.5197,2.1929,1.896,3.841
9.955694,-2.062,2.4446,2.0711,3.81
9.975654,-1.4723,1.4705,2.0993,2.956
9.99609,-1.8491,-0.1977,1.1759,2.2
10.015978,-1.8724,-1.443,1.3231,2.709
10.036111,-0.846,-2.0983,1.794,2.887
10.057408,0.2132,-1.9327,2.2783,2.995
10.077333,0.7536,-1.185,2.1165,2.54
10.098334,0.2026,-0.1812,1.3042,1.332
10.117386,-0.1257,0.145,0.8569,0.878
10.137955,-0.6221,0.2825,0.4529,0.82
10.15852,-0.9473,0.1553,0.5947,1.129
10.178697,-1.0375,0.0299,0.8123,1.318
10.199474,-0.9984,-0.3254,0.8101,1.326
10.219416,-1.0564,-0.6643,1.1694,1.71
10.243428,-1.1692,-0.7146,1.5139,2.042
10.25906,-1.1257,-0.6132,1.5478,2.01
10.280394,-0.9007,-0.44,1.3129,1.652
10.300343,-0.6281,-0.3533,1.0684,1.289
10.320611,-0.3732,-0.1241,0.4541,0.601
10.341985,-0.0745,0.3483,-0.0097,0.356
10.361325,0.0525,0.7404,-0.2566,0.785
10.382504,-0.2982,1.3698,-0.4537,1.473
10.402008,-0.6172,1.3741,-0.6702,1.649
10.423198,-0.4823,0.8776,-0.7602,1.257
10.443083,-0.1284,0.5864,-0.6407,0.878
10.463223,0.0566,0.3837,-0.7294,0.826
10.483912,0.3094,0.0408,-1.0496,1.095
10.504547,0.6409,0.0054,-1.2916,1.442
10.524952,0.6985,0.6133,-1.3685,1.654
10.544922,0.5473,1.0402,-1.3321,1.776
10.565421,0.1421,1.2712,-1.0606,1.662
10.585809,0.5261,1.2614,0.0817,1.369
10.606682,1.8921,0.7205,1.5953,2.578
10.626901,2.1767,0.2244,2.4875,3.313
10.648897,0.626,-0.0716,3.458,3.515
10.666615,-1.0302,-0.5187,3.132,3.338
10.686781,-2.3409,-1.4917,2.8604,3.986
10.707148,-2.1378,-2.3956,3.2871,4.595
10.728401,-1.3213,-3.2158,3.5456,4.966
10.753614,0.1952,-2.8718,2.4046,3.751
10.767822,1.0139,-1.3969,1.5479,2.318
10.788075,1.0729,0.5984,0.5539,1.348
10.809067,0.7061,1.3879,-0.3026,1.586
10.828675,0.1094,1.2823,-1.073,1.676
10.848661,-0.8017,0.7588,-0.8114,1.37
10.869766,-1.4698,-0.2718,0.0382,1.495
10.889504,-1.4567,-1.2094,0.615,1.991
10.91047,-1.234,-1.4635,0.7154,2.044
10.930224,-0.8611,-1.2795,0.2424,1.561
10.950177,-0.3875,-1.1955,-0.0354,1.257
10.970185,-0.2177,-0.8066,-0.0444,0.837
10.990912,-0.063,-0.2949,0.1474,0.336
11.011699,0.2072,-0.1433,0.0574,0.258
11.038382,0.2233,0.1031,-0.0423,0.25
11.058037,-0.1486,0.3848,-0.2613,0.488
11.072186,-0.3926,0.2256,-0.347,0.57
11.092891,-0.289,-0.2503,-0.2804,0.474
11.112924,0.2075,-0.4531,-0.1025,0.509
11.146792,-0.2417,0.5206,-0.5946,0.826
11.159334,-0.3261,0.6849,-0.6982,1.031
11.174251,-0.2179,0.4802,-0.6481,0.836
11.193907,0.0202,-0.337,-0.4782,0.585
11.214657,0.127,-1.0303,-0.1668,1.051
11.245146,-0.3185,-0.5939,-0.3347,0.752
11.256512,-0.5001,-0.4291,-0.3972,0.769
11.275441,-0.5663,-0.4069,-0.3626,0.786
11.295956,-0.3035,-0.6101,-0.5045,0.848
11.315685,-0.1413,-0.6824,-0.6683,0.966
11.345109,-0.7844,-0.1505,-0.5785,0.986
11.359488,-1.1285,-0.1192,-0.3767,1.196
11.376999,-1.4414,-0.305,-0.2558,1.495
11.39706,-1.546,-0.6057,-0.0145,1.66
11.417328,-1.3931,-0.5572,-0.1475,1.508
11.447878,-1.645,-0.5494,-0.7491,1.889
11.464573,-1.6273,-0.7233,-0.6858,1.908
11.478418,-1.5705,-1.0106,-0.503,1.934
11.498221,-1.6446,-1.1078,-0.3838,2.02
11.518687,-1.7327,-1.0032,-0.4887,2.061
11.546282,-1.3234,-0.8794,-1.0561,1.908
11.561718,-1.036,-0.7993,-1.2533,1.812
11.579268,-0.8126,-0.6707,-1.3703,1.729
11.599937,-0.6713,-0.6014,-1.6631,1.892
11.61999,-0.7864,-0.6536,-1.9486,2.201
11.644517,-1.2118,-1.0663,-2.0881,2.639
11.660842,-1.824,-1.2705,-1.8348,2.882
11.681274,-2.4685,-1.0652,-0.4085,2.719
11.701095,-1.7998,-0.5566,1.0807,2.172
11.721407,-0.7996,-0.4701,2.661,2.818
11.74527,3.7231,-2.0792,4.684,6.334
11.761959,10.7236,-0.3846,9.9728,14.649
11.794424,8.0509,5.9703,8.1271,12.904
11.803958,4.0044,4.9732,3.7222,7.391
11.828065,-0.2252,2.4455,-2.3785,3.419
11.850477,4.3533,-0.2047,0.4594,4.382
11.862943,4.79,-0.2678,1.9495,5.179
11.88292,2.3502,0.3735,1.7484,2.953
11.904144,-0.4249,0.4211,0.7405,0.952
11.924306,-2.7381,-0.0891,0.6989,2.827
11.944051,-3.124,-0.3367,1.1052,3.331
11.964085,-3.1732,-0.1022,1.1807,3.387
11.984764,-3.2819,0.2349,1.3239,3.547
12.005583,-3.0219,0.6371,1.5844,3.471
12.024982,-2.2702,0.8225,1.3086,2.746
12.046203,-1.1692,0.4565,0.6329,1.406
12.06731,-0.1307,0.0913,0.1185,0.199
12.087238,0.4714,0.2967,-0.5078,0.754
12.107699,0.88,0.8761,-0.9443,1.56
12.128058,0.7314,0.7443,-1.4466,1.784
12.148961,0.089,0.0192,-1.1973,1.201
12.168246,-0.2803,-0.2963,-0.934,1.019
12.18922,-0.1145,0.1347,-0.5888,0.615
12.208818,0.2489,0.5147,-0.3685,0.68
12.230275,0.3836,0.7582,-0.2129,0.876
12.249987,0.0234,0.7166,-0.1261,0.728
12.270012,-0.4919,0.3598,-0.3487,0.702
12.290784,-0.5519,-0.1226,-0.6577,0.867
12.311679,-0.331,-0.0909,-0.848,0.915
12.33079,-0.3107,0.0826,-0.9676,1.02
12.351541,-0.4543,0.1573,-0.7383,0.881
12.371337,-0.5329,0.1404,-0.5199,0.758
12.392151,-0.6901,0.1176,-0.382,0.797
12.411924,-1.1703,0.1,-0.3155,1.216
12.433041,-1.5113,0.251,-0.347,1.571
12.455709,-1.8575,0.6748,-0.291,1.998
12.473111,-2.0308,0.791,-0.092,2.181
12.493176,-2.3001,0.9206,0.0215,2.478
12.513641,-2.2666,1.0449,-0.0705,2.497
12.534653,-1.9186,1.2387,-0.0173,2.284
12.557095,-1.8241,1.2033,-0.0448,2.186
12.574144,-1.6315,0.9706,-0.3296,1.927
12.595093,-1.0318,0.9658,-0.7301,1.591
12.614669,-0.7346,1.1588,-1.1623,1.798
12.636114,-1.6961,0.9764,-1.6993,2.592
12.655405,-2.4889,0.9377,-1.477,3.042
12.676046,-2.8444,1.5383,-1.2432,3.464
12.69649,-2.9178,2.4604,-1.1384,3.983
12.717392,-0.0542,1.7837,-0.0761,1.786
12.736839,2.2689,0.8898,1.1618,2.7
12.75744,6.6299,0.5827,4.3252,7.937
12.778479,11.9122,-1.4664,5.9097,13.378
12.803223,10.376,-4.4622,5.0587,12.376
12.818794,6.6811,-4.666,3.3398,8.807
12.840525,2.9874,-3.6684,0.2782,4.739
12.858148,1.9033,-1.4228,-0.0458,2.377
12.878804,1.8765,0.1923,0.938,2.107
12.898997,1.2805,0.1436,1.0036,1.633
12.918951,-0.0291,-0.0025,1.6312,1.632
12.944796,-2.6494,0.0038,2.4895,3.636
12.959644,-3.7123,-0.0009,2.6166,4.542
12.980602,-3.9409,-0.2804,1.7735,4.331
13.000681,-3.5208,-0.6553,1.0076,3.72
13.021234,-3.0929,-1.0534,0.6328,3.328
13.053137,-1.9962,-0.9338,0.1657,2.21
13.065947,-1.2745,-0.6188,-0.0858,1.419
13.082568,-0.7132,-0.239,-0.3585,0.833
13.10255,0,0.0639,-0.7803,0.783
13.12333,0.6845,-0.0268,-1.1172,1.311
13.15174,0.7072,-0.3962,-1.0639,1.338
13.169582,0.364,-0.763,-0.7971,1.162
13.183677,0.2388,-0.873,-0.6839,1.134
13.204806,-0.1088,-0.6722,-0.4756,0.831
13.224904,-0.3008,-0.3121,-0.2534,0.502
13.250611,-0.2771,-0.0628,-0.1788,0.336
13.265134,-0.3011,-0.0268,-0.1574,0.341
13.285879,-0.4914,-0.0369,-0.1428,0.513
13.305572,-0.9457,-0.0661,-0.1042,0.954
13.325909,-1.2235,-0.1599,-0.0787,1.236
13.350184,-1.0933,-0.4912,-0.2489,1.224
13.366072,-1.0263,-0.7435,-0.4238,1.336
13.387483,-1.4486,-0.8952,-0.6233,1.813
13.408286,-2.2865,-0.9093,-0.7934,2.585
13.428346,-2.8348,-1.0448,-0.8875,3.149
13.451184,-2.7172,-1.1557,-0.906,3.089
13.467926,-2.6971,-0.9958,-0.7062,2.961
13.488123,-2.6749,-0.7968,-0.7906,2.901
13.508929,-2.1468,-0.8812,-1.372,2.696
13.529802,-1.5434,-0.9389,-1.8643,2.596
13.549595,-1.3082,-0.6019,-2.011,2.473
13.569916,-1.7913,0.2071,-1.4784,2.332
13.590543,-1.7243,0.1452,-0.4719,1.794
13.610726,0.2198,-1.3184,1.2931,1.86
13.631113,3.5598,-1.799,3.008,4.996
13.650578,7.1848,-0.2003,5.3802,8.978
13.671709,10.4581,4.8829,9.9871,15.263
13.69966,8.0791,4.9885,2.1974,9.746
13.712931,4.8867,2.8648,-0.6056,5.697
13.731334,4.1621,-0.0332,-1.856,4.557
13.75153,5.0739,-1.2875,-0.4723,5.256
13.771739,2.9053,-0.6519,0.346,2.998
13.792804,-0.2106,-0.2788,0.5093,0.618
13.813273,-2.2005,-0.5259,0.7055,2.37
13.833632,-3.1656,-1.0561,0.8533,3.444
13.855397,-3.9584,-0.9625,1.1186,4.225
13.873892,-4.2992,-0.4415,1.2344,4.495
13.895155,-4.3724,0.4441,1.4541,4.629
13.914572,-3.2342,1.2076,1.0095,3.597
13.935203,-1.9119,1.3102,0.522,2.376
13.957396,-0.843,1.1295,0.0906,1.412
13.975509,-0.0811,0.9428,-0.4222,1.036
13.996004,0.2767,0.9164,-0.9231,1.33
14.016429,0.4843,0.984,-1.1827,1.613
14.036674,0.6357,1.1501,-1.169,1.759
14.0576,0.4557,1.2249,-0.8839,1.578
14.078276,-0.3507,0.909,-0.3698,1.042
14.098527,-1.1901,0.5228,0.0199,1.3
14.118947,-2.0713,0.1195,0.095,2.077
14.138989,-2.5995,-0.1347,0.5032,2.651
14.165471,-2.4384,-0.4822,0.4439,2.525
14.180042,-2.0366,-0.7591,0.0789,2.175
14.200916,-1.3979,-0.6018,-0.3494,1.562
14.220805,-1.1558,-0.3947,-1.5117,1.943
14.241369,-1.2315,-0.5425,-2.7537,3.065
14.262039,-1.4018,-0.7208,-2.7854,3.201
14.28121,-1.2217,-0.4883,-2.2518,2.608
14.301277,-1.4926,-0.0406,-1.9993,2.495
14.322471,-2.2621,0.4027,-1.7891,2.912
14.342637,-2.3538,0.9493,-1.1149,2.772
14.362945,-1.6868,1.283,-0.3267,2.144
14.382729,0.0211,1.5192,0.6394,1.648
14.403191,2.2174,1.8386,3.1291,4.253
14.424061,5.8366,1.9272,4.8447,7.826
14.452386,11.1723,-1.0597,5.2891,12.406
14.47508,9.3598,-4.1146,4.9496,11.359
14.48643,7.2703,-4.3286,2.9904,8.974
14.507667,2.764,-3.5145,-1.1091,4.607
14.525752,0.0154,-1.2638,-1.4361,1.913
14.552192,-0.766,0.9247,1.0691,1.608
14.569709,-0.4129,1.3055,2.5122,2.861
14.585245,-0.6672,1.3104,2.7293,3.1
14.605752,-2.4239,1.5086,3.1522,4.253
14.626508,-3.3706,1.3627,2.5946,4.467
14.652479,-2.573,0.4324,0.7405,2.712
14.667922,-2.156,-0.0654,0.1807,2.165
14.687629,-1.5595,-0.8164,-0.049,1.761
14.707914,-0.8974,-1.2669,0.0256,1.553
14.727973,0.0776,-1.5287,-0.0331,1.531
14.750471,0.1927,-0.7456,-0.4471,0.89
14.768137,0.0703,0.2542,-0.8541,0.894
14.788952,0.2765,0.6279,-1.2615,1.436
14.809267,0.2273,0.5312,-1.3101,1.432
14.829939,0.1892,0.2329,-0.8506,0.902
14.859134,-0.0108,0.2232,-0.3909,0.45
14.871096,-0.1817,0.4334,-0.5028,0.688
14.889643,-0.3712,0.6041,-0.6512,0.963
14.911197,-0.4964,0.4783,-0.7557,1.023
14.931006,-0.4943,0.3188,-0.874,1.053
14.960098,-0.433,0.15,-0.868,0.981
14.972401,-0.2925,0.0718,-0.842,0.894
14.991413,-0.2216,-0.1033,-0.7576,0.796
15.012661,-0.4628,-0.358,-0.7718,0.969
15.032215,-1.3442,-0.6499,-0.6395,1.624
15.058297,-2.5138,-0.7226,-0.5354,2.67
15.072389,-3.1422,-0.6791,-0.4408,3.245
15.094044,-3.2659,-0.4824,-0.3885,3.324
15.11296,-3.0332,0.015,-0.937,3.175
15.133647,-2.5754,0.6394,-1.3601,2.982
15.156007,-1.8884,0.9084,-1.8022,2.764
15.173528,-0.8744,0.7524,-2.6293,2.871
15.194069,-0.1894,0.3867,-2.6802,2.715
15.214665,-0.112,-0.1672,-2.1493,2.159
15.235565,-0.8696,-0.8447,-1.5671,1.981
15.258148,-1.108,-1.8105,-0.8823,2.299
15.275924,-0.2016,-2.7955,0.2936,2.818
15.296532,1.9743,-3.4565,1.8528,4.391
15.31591,4.4655,-2.5468,4.4318,6.787
15.336569,7.1144,0.3496,7.4888,10.335
15.3669,8.9253,6.7232,6.169,12.764
15.381081,7.1725,6.6796,2.5518,10.128
15.396813,4.4061,5.1002,-0.0127,6.74
15.41733,1.7708,1.8691,-2.1854,3.377
15.437736,1.1584,-0.4217,-1.1194,1.665
15.46043,-0.2558,-1.4181,0.3568,1.484
15.478753,-1.8562,-1.4938,1.3089,2.718
15.498283,-3.0236,-1.0304,1.5445,3.548
15.519908,-3.6989,-0.5202,1.6026,4.065
15.5392,-3.9473,-0.1684,1.6217,4.271
15.559923,-3.5477,-0.2021,1.134,3.73
15.579383,-2.155,-0.1826,1.1095,2.431
15.599839,-0.463,0.0249,1.1095,1.202
15.620679,0.3439,0.88,0.4017,1.027
15.641126,0.5204,1.9208,0.1576,1.996
15.66632,0.267,1.1434,-1.2286,1.699
15.681281,0.6414,0.3836,-1.7096,1.866
15.702645,0.8015,0.0481,-2.0215,2.175
15.723044,0.1633,0.2674,-1.8077,1.835
15.74343,-0.4911,0.2835,-1.3724,1.485
15.762397,-0.6786,0.4343,-0.6406,1.029
15.782473,-0.9213,0.8198,0.0888,1.236
15.803423,-1.3812,1.2094,0.1791,1.845
15.823432,-1.7169,1.4288,0.0202,2.234
15.843924,-2.3635,1.0323,-0.0716,2.58
15.865086,-2.744,0.5797,-0.2696,2.818
15.885337,-3.1082,-0.2279,-0.487,3.154
15.90646,-2.5312,-0.5517,-0.5346,2.645
15.925653,-2.0315,-0.6651,-0.9896,2.356
15.945926,-1.468,-0.1128,-1.1003,1.838
15.972727,-0.5938,1.5626,-2.0284,2.628
15.987553,-0.8831,1.8609,-2.92,3.573
16.008551,-1.631,2.1423,-2.7118,3.821
16.027289,-1.4299,2.7527,-1.4901,3.441
16.047443,-0.3092,2.5462,0.2457,2.577
16.06946,1.6411,1.2902,2.0268,2.91
16.092361,4.3234,1.032,3.7512,5.816
16.108374,3.9021,0.4912,3.4902,5.258
