time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
8.006892,0.0409,0.0149,0.0019,0.044
8.026591,0.0536,0.0193,0.0493,0.075
8.046837,-0.0087,-0.018,-0.0115,0.023
8.068456,-0.0316,-0.0126,-0.0621,0.071
8.089808,-0.0072,0.0014,-0.0373,0.038
8.108611,-0.0025,0.0106,-0.0137,0.017
8.127951,-0.0261,-0.0039,0.023,0.035
8.148896,-0.0255,-0.0135,0.0263,0.039
8.169519,-0.011,-0.0041,0.0198,0.023
8.193194,-0.0017,-0.014,-0.0102,0.017
8.208573,-0.0021,-0.0043,0.0171,0.018
8.229491,0.0022,0.01,-0.0034,0.011
8.250515,0.0108,0.005,-0.0044,0.013
8.270818,0.0241,0.0092,-0.0008,0.026
8.289955,-0.0006,0.0091,-0.0207,0.023
8.310616,-0.001,-0.0055,-0.0214,0.022
8.330858,0.0028,0.0085,-0.023,0.025
8.350849,0.0161,-0.0205,-0.0059,0.027
8.37164,0.0104,-0.0066,0.0017,0.012
8.391815,-0.014,0.0165,-0.0045,0.022
8.412169,-0.0283,0.0209,0.0182,0.04
8.432532,-0.0001,0.0155,0.0195,0.025
8.452264,0.0178,0.0052,0.0168,0.025
8.472702,0.0118,0.0097,0.0285,0.032
8.499308,0.011,0.0096,0.0348,0.038
8.51352,0.0106,-0.0046,0.0098,0.015
8.533578,0.0149,0.0099,-0.0144,0.023
8.553893,0.0004,-0.0088,0.0099,0.013
8.574283,-0.0277,-0.0134,-0.014,0.034
8.599926,-0.0273,-0.0037,-0.0147,0.031
8.614315,-0.0179,-0.0037,-0.011,0.021
8.635339,0.0055,0.0059,-0.0031,0.009
8.655836,0.0001,0.0013,-0.0184,0.018
8.676638,0.0137,0.0012,-0.0052,0.015
8.696274,0.0082,0.0059,-0.0018,0.01
8.716816,-0.0066,-0.0035,0.0018,0.008
8.736143,-0.0024,0.0112,0.0046,0.012
8.757536,0.0064,-0.003,0.0027,0.008
8.778,-0.0086,-0.0075,0.0053,0.013
8.797317,-0.009,-0.0024,0.0077,0.012
8.817418,-0.0095,0.0072,0.0103,0.016
8.839214,0.0087,0.0071,0.0131,0.017
8.859559,-0.0062,0.007,-0.0075,0.012
8.879046,0.0076,-0.0024,-0.0181,0.02
8.903153,-0.0028,-0.0113,-0.0049,0.013
8.920078,-0.0173,0.0033,0.0038,0.018
8.939933,-0.0082,-0.0058,0.0256,0.028
8.960443,-0.0131,0.0045,0.0188,0.023
8.980536,0.0152,0.0051,-0.0016,0.016
9.00521,0.0281,0.0062,-0.0024,0.029
9.020493,0.0366,0.0166,0.0445,0.06
9.041885,-0.0066,0.0036,-0.0405,0.041
9.06244,-0.0017,0.0135,-0.0722,0.073
9.082778,-0.0108,0.0049,0.0009,0.012
9.102274,-0.0197,-0.0131,0.0202,0.031
9.122541,-0.0233,-0.0071,0.0389,0.046
9.143504,-0.0126,-0.0067,0.0433,0.046
9.164283,0.0209,0.0035,0.0195,0.029
9.192909,0.0114,0.0091,-0.0074,0.016
9.205261,0.002,0.0045,0.0076,0.009
9.224491,-0.0024,0.0002,-0.0149,0.015
9.245452,0.0167,0.0098,-0.0134,0.024
9.264597,-0.0025,-0.0088,0.0112,0.014
9.292664,-0.0108,-0.0071,-0.0344,0.037
