time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
10.547846,-0.0155,0.0074,-0.0188,0.025
10.568319,-0.0198,0.0166,0.0022,0.026
10.5883,0.0044,0.0253,0.012,0.028
10.60886,0.0044,0.0288,0.0026,0.029
10.632625,0.0133,0.0179,-0.0159,0.027
10.650088,0.0223,0.0075,-0.0009,0.024
10.669682,-0.0164,0.0199,-0.0229,0.034
10.690123,-0.0303,0.023,0.0022,0.038
10.710038,-0.0012,-0.0209,0.0121,0.024
10.73081,0.0085,-0.0068,-0.021,0.024
10.751172,-0.0061,0.0023,-0.0056,0.009
10.771301,-0.0061,0.0293,-0.009,0.031
10.792698,0.0222,0.017,0.0112,0.03
10.812945,0.0073,-0.0175,-0.0071,0.02
10.831885,-0.0024,-0.0226,-0.0112,0.025
10.852198,-0.0022,-0.018,-0.0146,0.023
10.873656,-0.0021,-0.0136,-0.0135,0.019
10.893761,0.0024,0.0051,-0.0217,0.022
10.921956,-0.0125,-0.0008,-0.0051,0.014
10.933798,-0.0266,-0.0153,-0.0141,0.034
10.954076,-0.0307,-0.0385,0.0008,0.049
10.974417,-0.0208,-0.0373,0.0105,0.044
10.994554,-0.0061,0.0015,0.0057,0.009
11.033301,0.0121,-0.005,-0.0026,0.013
11.047681,-0.0399,-0.005,0.026,0.048
11.059683,-0.0534,0.0045,0.0113,0.055
11.075604,0,0.0184,-0.0047,0.019
11.095969,0.0002,-0.0005,-0.0052,0.005
11.13048,0.0847,-0.0087,0.0111,0.086
11.145343,0.0683,-0.0228,-0.0267,0.077
11.156626,0.0151,-0.0414,-0.0402,0.06
11.177013,-0.0697,-0.0403,-0.0343,0.087
11.19742,-0.0253,0.0266,-0.0194,0.041
11.229271,0.0231,0.0372,0.0019,0.044
11.244932,0.0461,-0.0206,0.0532,0.073
11.258147,0.0596,-0.0395,0.0472,0.086
11.278546,0.0153,-0.0154,-0.0068,0.023
11.298756,-0.0184,0.022,-0.034,0.044
11.329289,-0.0503,0.0064,-0.0029,0.051
11.345445,0.0027,-0.0079,0.021,0.023
11.359243,0.0168,-0.0128,0.0303,0.037
11.379575,0.007,-0.0176,0.0201,0.028
11.399869,0.0024,0.0011,0.0386,0.039
11.426528,0.0025,0.0184,0.0092,0.021
11.44029,0.0024,-0.0011,0.0092,0.01
11.46095,-0.0166,-0.0202,0.0093,0.028
11.481492,-0.0256,-0.0247,-0.0002,0.036
11.501589,0.0034,-0.0009,0.0142,0.015
11.526081,0.0264,-0.0018,0.0181,0.032
11.54187,0.0063,0.0028,0.0226,0.024
11.562822,-0.0175,0.0076,0.0131,0.023
11.583067,0.0019,0.0073,-0.0103,0.013
11.602502,0.0113,0.0162,-0.0189,0.027
