time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
3.505639,-0.0363,0.014,0.0635,0.074
3.523901,-0.0607,0.0958,0.1718,0.206
3.543847,0.0513,-0.0376,0.1304,0.145
3.583467,-0.0356,-0.0297,-0.0514,0.069
3.599683,-0.0403,0.06,0.0068,0.073
3.612464,0.0542,0.0235,0.0218,0.063
3.629085,0.1233,0.002,-0.0458,0.132
3.645576,0.0909,-0.0455,-0.1611,0.19
3.682287,-0.0116,-0.0125,0.0153,0.023
3.702514,0.0623,-0.0336,-0.0416,0.082
3.71542,0.0823,-0.047,-0.069,0.117
3.731268,0.0082,-0.027,-0.0715,0.077
3.747354,-0.0519,-0.0784,0.1269,0.158
3.784388,-0.0838,-0.0606,0.0833,0.133
3.80485,-0.0503,0.027,0.0396,0.07
3.814475,-0.0257,0.022,0.0131,0.036
3.832215,0.0297,-0.0263,0.0438,0.059
3.84888,0.0189,-0.0148,-0.1003,0.103
3.886154,0.0843,0.0715,-0.1424,0.18
3.908198,0.1159,0.0769,0.1013,0.172
3.915365,0.0797,0.0602,0.1549,0.184
3.933006,0.0049,0.0847,0.1016,0.132
3.950118,-0.0308,0.0046,-0.0069,0.032
3.987147,-0.0478,0.0256,0.0764,0.094
4.009157,0.0234,0.0088,0.2369,0.238
4.017571,0.0273,-0.0166,0.2161,0.218
4.034155,-0.019,0.042,0.058,0.074
4.050276,-0.0989,-0.0469,-0.0646,0.127
4.07085,-0.0894,-0.0345,-0.1082,0.145
4.091027,0.0202,-0.0037,-0.0428,0.047
4.11149,0.1052,0.0378,-0.0011,0.112
4.131879,0.029,-0.0025,-0.0822,0.087
4.152181,-0.0354,-0.0945,-0.0979,0.141
4.173177,0.052,-0.0003,0.0338,0.062
4.193144,0.0689,0.0612,0.073,0.118
4.214527,0.0574,0.0002,-0.1233,0.136
4.232904,-0.094,0.0014,-0.139,0.168
4.253474,-0.0214,-0.0074,0.0848,0.088
4.273857,0.0693,-0.0321,0.0947,0.122
4.308085,0.0202,-0.0628,-0.1047,0.124
4.327856,0.0102,0.013,-0.0403,0.044
4.337885,0.0201,0.0157,0.0354,0.044
4.355896,0.1104,0.01,0.0227,0.113
4.375151,0.1572,-0.0586,0.0243,0.169
4.409515,-0.0487,0.0479,-0.127,0.144
4.431193,0.0061,0.0288,-0.0019,0.029
4.44056,0.0292,0.0416,0.0263,0.057
4.456228,0.1305,-0.004,0.0913,0.159
4.476798,0.0107,0.0797,0.104,0.131
4.511815,0.0135,0.025,0.0262,0.039
4.533319,-0.0171,0.0181,0.0556,0.061
4.539951,0.0096,0.0345,0.0243,0.043
4.558226,0.0932,-0.0255,-0.0489,0.108
4.57908,0.0488,0.1321,-0.055,0.151
4.61131,-0.0884,-0.0059,0.2081,0.226
4.634929,-0.1655,-0.0943,0.1496,0.242
4.640925,-0.1569,-0.0704,0.1106,0.204
4.660771,-0.0736,0.0216,-0.0324,0.083
4.681203,0.0652,0.1082,-0.0075,0.127
4.71412,0.0268,0.0452,-0.2214,0.228
4.739362,0.0337,-0.0402,-0.2011,0.208
4.741579,0.0337,-0.0402,-0.2011,0.208
4.76227,-0.0273,-0.0014,0.096,0.1
4.782316,-0.0398,-0.024,0.1403,0.148
4.812542,-0.0113,-0.0747,-0.1213,0.143
4.8317,-0.0655,0.0413,-0.0427,0.088
4.843936,-0.135,0.0525,-0.0527,0.154
4.864827,0.0395,-0.0256,0.0961,0.107
4.883798,-0.0028,-0.0024,0.0668,0.067
4.914175,0.0124,0.0748,-0.051,0.091
4.936235,0.0129,0.0171,-0.021,0.03
4.944454,0.0183,0.0155,0.0194,0.031
4.96608,0.0231,0.034,0.1167,0.124
4.984828,0.0204,0.0239,0.1876,0.19
5.014716,-0.0406,-0.0543,-0.0096,0.068
5.038455,-0.0228,-0.0982,-0.1326,0.167
5.045895,0.0069,-0.0428,-0.0994,0.108
5.06703,0.0486,0.0535,0.0306,0.078
5.087007,0.0943,-0.0384,0.0135,0.103
5.11625,0.0115,-0.0912,-0.1888,0.21
5.142137,-0.0117,-0.0157,-0.0573,0.061
5.148221,-0.005,-0.0211,-0.0191,0.029
5.167756,0.0607,-0.0619,0.0546,0.102
5.187873,0.0701,-0.0784,-0.0362,0.111
5.218033,-0.0155,-0.015,0.0552,0.059
5.241122,0.001,-0.0796,0.2179,0.232
5.249227,-0.0126,-0.1186,0.1899,0.224
5.269859,-0.0921,0.0218,-0.07,0.118
5.289778,0.0442,0.085,-0.1617,0.188
5.321825,0.0319,0.0445,0.0155,0.057
5.345895,-0.0713,-0.0104,0.0809,0.108
5.350631,-0.1157,0.0261,0.0967,0.153
5.370829,-0.0154,0.0522,0.0236,0.059
5.391053,0.0878,0.1147,-0.0484,0.152
5.412464,0.1248,0.1052,0.0216,0.165
5.433098,0.015,0.015,0.0492,0.054
5.454198,-0.0331,-0.0524,-0.0224,0.066
5.472262,-0.0479,-0.0576,-0.0122,0.076
5.492691,-0.0293,-0.0487,-0.0134,0.058
5.51287,-0.0267,-0.0163,-0.0639,0.071
5.53956,-0.0024,0.0124,-0.0679,0.069
5.560715,0.004,-0.0271,-0.0753,0.08
5.573272,-0.0385,0.0019,-0.0101,0.04
5.594024,-0.0996,0.021,0.039,0.109
5.614822,-0.0208,0.0258,0.1662,0.169
5.64138,-0.0228,0.0764,-0.0379,0.088
5.662976,-0.0057,0.0428,-0.12,0.127
5.674347,0.0515,-0.0308,-0.0801,0.1
5.695801,0.042,0.0484,-0.0124,0.065
5.716113,-0.024,0.0234,0.1669,0.17
5.742897,0.0486,-0.0338,0.0856,0.104
5.767587,0.0624,0.0722,0.0529,0.109
5.776158,0.0156,0.1122,0.0829,0.14
5.797158,0.0557,0.0333,0.0388,0.076
5.816786,0.0348,-0.0331,-0.1268,0.136
5.844201,0.086,0.1614,-0.0019,0.183
5.872895,0.1748,0.1509,-0.013,0.231
5.890013,0.0855,0.1274,-0.0749,0.171
5.906603,0.0036,-0.0369,-0.0557,0.067
5.925518,-0.0764,-0.0622,0.0385,0.106
5.942415,-0.1315,-0.0144,0.1104,0.172
5.962746,-0.0472,-0.0591,0.1191,0.141
5.987668,-0.0491,-0.1155,-0.161,0.204
5.999652,-0.109,-0.0864,-0.2213,0.261
6.019959,-0.043,-0.0725,-0.1197,0.146
6.045486,-0.022,-0.0351,0.0593,0.072
6.074653,0.0134,-0.026,-0.0099,0.031
6.093956,0.0454,-0.0604,-0.1772,0.193
6.111087,0.0647,0.0554,-0.1818,0.201
6.127316,0.0835,0.1631,-0.0039,0.183
6.14439,0.2142,0.0661,0.1197,0.254
6.164424,0.0467,0.038,0.107,0.123
6.193825,-0.0366,-0.0378,-0.0222,0.057
6.212878,-0.0138,0.0825,0.0133,0.085
6.229469,0.001,0.0936,-0.0506,0.106
6.245276,0.0285,0.0687,-0.0418,0.085
6.267155,0.0078,-0.0557,-0.0653,0.086
6.296261,-0.0821,-0.009,-0.0755,0.112
6.311433,-0.0606,0.0268,-0.0289,0.072
6.33088,0.0529,-0.0271,0.0366,0.07
6.346977,0.0128,-0.0844,-0.0212,0.088
6.384029,-0.1097,-0.0138,-0.0151,0.112
6.41001,0.0954,-0.033,0.0645,0.12
6.411133,0.1504,-0.0557,0.0758,0.177
6.425853,0.1764,-0.1019,0.0608,0.213
6.44619,-0.0776,0.0356,0.0766,0.115
6.493011,0.0569,-0.0631,0.0517,0.099
6.506012,0.1026,-0.0177,-0.1672,0.197
6.514913,0.093,0.0283,-0.173,0.198
6.531887,0.017,0.1357,0.0173,0.138
6.547552,0.0836,0.0307,0.1216,0.151
6.583839,-0.0162,-0.0504,-0.064,0.083
6.61311,0.0149,0.1256,0.0549,0.138
6.613593,0.0149,0.1256,0.0549,0.138
6.634804,0.0249,0.069,0.1042,0.127
6.651195,0.005,-0.112,-0.0233,0.115
6.687954,-0.0335,0.067,0.0935,0.12
6.718942,0.0686,0.0276,0.0517,0.09
6.719484,0.0686,0.0276,0.0517,0.09
6.734091,0.0128,-0.0342,-0.0551,0.066
6.749972,-0.0648,-0.0744,-0.0748,0.124
6.784579,-0.0285,0.0031,0.1963,0.198
6.803746,0.0504,-0.0345,0.0194,0.064
6.817171,0.0383,0.0066,-0.1325,0.138
6.832865,-0.0035,0.1118,-0.1161,0.161
6.85115,0.0145,0.0449,-0.0838,0.096
6.886731,-0.0119,-0.069,0.0291,0.076
6.908741,-0.0453,-0.1202,-0.0104,0.129
6.918323,-0.0608,-0.0577,-0.0195,0.086
6.934181,-0.119,0.0715,-0.0329,0.143
6.951255,0.0086,-0.032,0.0174,0.037
6.98957,-0.0683,-0.0236,-0.0701,0.101
7.016834,-0.0298,0.0023,-0.0135,0.033
7.017739,0.0136,0.0057,0.0173,0.023
7.032832,0.019,0.095,0.0378,0.104
7.052888,0.0436,0.0507,0.0144,0.068
7.073357,0.0466,0.0318,-0.0249,0.062
7.109053,-0.0373,-0.0585,-0.0143,0.071
7.128578,-0.1324,0.032,0.0255,0.139
7.138819,-0.0969,0.0751,0.1003,0.158
7.154955,0.1077,0.033,0.1393,0.179
7.175392,0.0059,-0.0713,0.0153,0.073
7.210343,-0.0372,0.0301,0.021,0.052
7.239742,0.2153,0.0776,-0.0352,0.232
7.2401,0.2153,0.0776,-0.0352,0.232
7.255,0.1463,-0.0211,-0.1489,0.21
7.277185,-0.0303,-0.0496,-0.1105,0.125
7.310196,0.0797,0.0261,0.0445,0.095
7.339778,0.04,0.0301,-0.0829,0.097
7.340515,0.04,0.0301,-0.0829,0.097
7.358025,-0.067,0.0009,-0.0243,0.071
7.377435,-0.0994,-0.0816,0.1063,0.167
7.411027,0.0332,-0.0237,-0.1055,0.113
7.4428,0.0722,0.0689,0.0788,0.127
7.443339,0.0722,0.0689,0.0788,0.127
7.457575,-0.0151,0.047,0.0926,0.105
7.47863,-0.012,-0.1216,0.0959,0.155
7.510388,0.1228,0.07,-0.009,0.142
7.542883,0.2282,0.0939,-0.0953,0.264
7.543491,0.2282,0.0939,-0.0953,0.264
7.560669,0.0102,0.155,-0.1073,0.189
7.580575,-0.0017,-0.0251,-0.0316,0.04
7.614199,-0.0866,-0.0278,0.1294,0.158
7.635321,-0.0679,-0.0048,0.1112,0.13
7.643427,-0.0235,-0.0019,0.0647,0.069
7.661053,-0.0975,-0.0382,-0.0042,0.105
7.680687,-0.1401,-0.0957,-0.086,0.19
7.714624,-0.114,0.0406,0.1139,0.166
7.742215,0.102,-0.0303,0.0649,0.125
7.743068,0.103,0.0074,0.0128,0.104
7.762302,0.0832,0.0187,0.0041,0.085
7.782121,-0.0197,0.1041,-0.0727,0.129
7.802363,-0.0313,0.0012,-0.0653,0.072
7.824606,0.127,-0.0191,-0.0786,0.151
7.842438,0.0909,0.0084,-0.0686,0.114
7.862832,0.0042,-0.0149,0.0938,0.095
7.885265,-0.0804,-0.0522,0.1619,0.188
7.903372,0.0249,-0.0495,0.0975,0.112
7.936807,0.0833,0.0449,0.002,0.095
7.95964,0.0084,0.1015,0.1167,0.155
7.9641,-0.0272,0.0755,0.1133,0.139
7.984549,0.0342,0.0344,-0.0213,0.053
8.005342,0.1142,-0.0162,-0.1983,0.229
8.036532,0.0205,0.0385,-0.1082,0.117
8.059642,0.0111,-0.0363,-0.0395,0.055
8.065652,0.0358,-0.067,-0.032,0.082
8.08843,-0.0302,-0.0813,-0.0425,0.097
8.106298,-0.1471,-0.0537,0.0728,0.173
8.136493,0.0098,-0.0684,-0.0531,0.087
8.164261,-0.0449,0.0681,-0.0784,0.113
8.171082,-0.0204,0.0742,-0.0356,0.085
8.187656,0.0223,0.0306,0.0601,0.071
8.207963,0.0393,-0.0071,0.1775,0.182
8.236571,-0.0073,0.096,0.003,0.096
8.257501,0.0809,0.1185,-0.0716,0.16
8.268011,0.1452,0.1337,-0.0395,0.201
8.288398,0.1491,0.0493,-0.0244,0.159
8.30897,0.0134,0.0598,-0.0233,0.066
8.338156,-0.0377,0.0346,0.0529,0.074
8.362338,-0.0337,-0.0884,0.1199,0.153
8.370848,-0.0818,-0.0909,0.0921,0.153
8.391445,-0.1754,0.0022,0.0173,0.176
8.411624,-0.0163,-0.0074,-0.0108,0.021
8.439784,-0.059,0.0128,0.0003,0.06
8.467991,-0.0936,-0.0371,-0.016,0.102
8.471325,-0.0814,0.0098,-0.0015,0.082
8.491766,0.0449,0.0575,-0.045,0.086
8.511935,0.0724,0.0858,-0.0652,0.13
8.54321,-0.0047,-0.074,-0.0501,0.089
8.575696,-0.0528,0.0165,0.0735,0.092
8.5764,-0.0528,0.0165,0.0735,0.092
8.593766,0.0086,-0.0489,0.1097,0.12
8.613841,0.0224,-0.0592,0.0272,0.069
8.63474,0.0121,-0.1237,-0.0662,0.141
8.661077,0.0428,0.0507,-0.0487,0.082
8.687009,0.1813,0.0302,-0.0285,0.186
8.69644,0.1963,-0.0122,-0.0797,0.212
8.715703,0.141,-0.0393,-0.1467,0.207
8.735976,0.0235,0.0752,-0.0572,0.097
8.766749,0.1244,-0.0011,-0.0158,0.125
8.794746,0.0024,0.0319,-0.0343,0.047
8.808015,-0.042,-0.0504,0.0174,0.068
8.826033,-0.0687,-0.0636,0.0449,0.104
8.842463,-0.0519,-0.104,0.0028,0.116
8.858392,-0.0271,-0.0246,-0.0518,0.063
8.879244,0.0601,-0.0193,-0.116,0.132
8.907793,-0.0579,-0.0045,0.013,0.06
8.91822,-0.0677,-0.054,0.1059,0.137
8.93912,-0.033,-0.0895,0.022,0.098
8.963113,0.0573,0.0799,-0.1327,0.165
8.998188,0.0412,0.075,0.0225,0.088
9.010296,0.0163,0.0496,0.0899,0.104
9.026924,-0.0437,-0.0182,0.1114,0.121
9.043955,-0.0734,0.0275,0.1201,0.143
9.061957,-0.0166,0.051,0.1001,0.114
9.085164,-0.0724,0.054,-0.0261,0.094
9.115645,-0.0455,0.0053,-0.0314,0.055
9.130275,0.0018,0.0423,0.0114,0.044
9.146259,0.0459,0.0028,0.042,0.062
9.16386,-0.0115,0.0205,-0.0374,0.044
9.184158,-0.0791,0.0169,0.0244,0.084
9.222794,0.0436,0.0175,0.0261,0.054
9.223511,0.065,0.033,0.0333,0.08
9.243193,0.0371,0.0578,-0.0248,0.073
9.267803,-0.0343,-0.0745,-0.016,0.084
9.301257,0.0174,-0.0816,0.062,0.104
9.313943,0.0594,-0.03,0.0721,0.098
9.331009,0.0433,-0.0098,0.0004,0.044
9.349289,-0.0278,-0.0214,-0.0779,0.085
9.365509,-0.0042,-0.0395,-0.0758,0.086
9.386197,0.0333,0.0336,-0.0657,0.081
9.419745,0.0344,0.0005,0.0357,0.05
