time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
6.00023,-0.0999,0.034,-0.0551,0.119
6.028852,0.0632,0.066,-0.028,0.096
6.036354,0.0803,0.0543,-0.0574,0.113
6.05461,-0.0077,0.0441,-0.1706,0.176
6.111157,0.0102,-0.0122,-0.1837,0.184
6.125319,0.0829,-0.0048,-0.0975,0.128
6.132485,0.0969,0.0138,-0.0161,0.099
6.136075,0.1005,0.0369,0.0158,0.108
6.156897,0.2047,0.1763,0.0523,0.275
6.195065,0.0739,0.1828,0.0325,0.2
6.212553,0.1356,0.2497,0.0084,0.284
6.220871,0.1556,0.3186,-0.0131,0.355
6.238831,0.0959,0.2167,0.0472,0.242
6.259967,0.1294,0.1734,0.089,0.234
6.300484,-0.0162,0.0816,0.061,0.103
6.302434,-0.008,0.0842,0.0657,0.107
6.320208,-0.0283,0.115,0.0247,0.121
6.340796,0.0402,0.1646,-0.0306,0.172
6.361492,0.0313,0.163,-0.0071,0.166
6.39289,-0.1099,0.0579,0.0599,0.138
6.411972,-0.1064,0.0114,-0.0107,0.108
6.422899,-0.1219,-0.0253,0.0362,0.13
6.443121,-0.0121,0.0336,-0.0727,0.081
6.463762,-0.0949,0.0163,-0.044,0.106
6.48391,-0.1733,-0.0414,-0.0838,0.197
6.517305,-0.1523,-0.0383,0.0242,0.159
6.536637,-0.1083,0.012,-0.1961,0.224
6.553315,-0.0524,0.0455,-0.177,0.19
6.570381,-0.1088,-0.0203,0.0213,0.113
6.586954,-0.1358,-0.0755,0.0722,0.171
6.629481,0.0412,0.0867,-0.122,0.155
6.631,0.0544,0.0863,-0.161,0.191
6.654221,0.0991,0.1156,-0.0053,0.152
6.669245,0.1206,0.0815,0.0219,0.147
6.687716,0.1126,0.0977,0.0008,0.149
6.7274,0.1715,0.1585,0.0205,0.234
6.728987,0.1813,0.1597,-0.0032,0.242
6.747229,0.112,0.0951,-0.0104,0.147
6.767967,0.0782,0.0751,0.059,0.123
6.78878,0.0484,0.0753,0.0737,0.116
6.829181,0.0497,0.0706,-0.0511,0.1
6.831397,0.0608,0.0515,-0.0575,0.098
6.857293,0.0264,0.0394,-0.0901,0.102
6.870806,0.0257,0.0603,-0.1308,0.146
6.891693,-0.0079,0.019,-0.1665,0.168
6.935277,-0.0407,-0.0698,-0.0111,0.082
6.937013,-0.0407,-0.0698,-0.0111,0.082
6.953607,-0.0146,0.0141,-0.0952,0.097
6.972529,-0.0112,0.0043,0.0528,0.054
6.993625,-0.0191,-0.0244,0.0501,0.059
7.036006,-0.1127,-0.0904,0.0989,0.175
7.037681,-0.1127,-0.0904,0.0989,0.175
7.054375,-0.0877,-0.0497,0.0254,0.104
7.074862,-0.0769,0.0052,0.0641,0.1
7.095964,-0.023,0.0095,-0.0583,0.063
7.134778,0.11,0.0871,0.0336,0.144
7.153664,0.0053,0.1158,-0.0907,0.147
7.169996,-0.0077,0.1382,-0.1555,0.208
7.187088,0.0377,0.1368,-0.0931,0.17
7.204087,0.1046,0.1542,-0.0756,0.201
7.222363,0.0925,0.1585,-0.0851,0.202
7.247012,0.0404,0.0393,0.0927,0.108
7.273266,-0.0208,0.0016,0.0109,0.024
7.287356,0.0156,-0.0079,-0.0126,0.022
7.303197,-0.0056,-0.0088,-0.0152,0.018
7.347583,0.0008,-0.0442,0.0354,0.057
7.349512,0.0025,-0.0619,0.0468,0.078
7.367611,-0.0347,-0.0636,0.1077,0.13
7.386266,-0.0411,-0.0431,0.0841,0.103
7.404665,0.0222,-0.0094,-0.0347,0.042
7.442407,-0.0289,-0.025,0.0615,0.072
7.463732,-0.0589,-0.0191,0.042,0.075
7.469641,-0.0429,-0.01,0.0415,0.061
7.486124,-0.0322,0.0455,-0.0515,0.076
7.504988,-0.0683,0.0408,-0.1626,0.181
7.54509,-0.0614,-0.0032,-0.0795,0.101
7.568006,-0.0679,0.0052,-0.0182,0.07
7.569459,-0.0679,0.0052,-0.0182,0.07
7.58664,-0.0671,-0.0011,0.0501,0.084
7.607614,-0.0038,0.0406,-0.0134,0.043
7.627812,0.091,0.076,-0.0009,0.119
7.660865,0.012,0.0267,0.1306,0.134
7.685689,0.0513,0.0738,0.1193,0.149
7.703706,0.0464,0.0783,0.094,0.131
7.718779,0.0689,0.1384,0.057,0.165
7.738008,0.0362,0.0586,0.0681,0.097
7.753737,-0.0111,0.0116,0.0705,0.072
7.779318,-0.0111,-0.0053,-0.0093,0.015
7.791382,-0.0219,-0.0302,-0.1124,0.118
7.811646,-0.0691,-0.0618,-0.2944,0.309
7.832751,0.0619,0.0046,-0.2324,0.241
