time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.02349,0.0115,-0.0304,0.1435,0.147
4.042533,-0.0146,0.0076,0.2515,0.252
4.064469,-0.011,-0.0074,0.0567,0.058
4.075352,0.0378,-0.0071,-0.0302,0.049
4.095997,0.0069,0.0048,-0.1162,0.117
4.125949,-0.0211,0.0154,0.0451,0.052
4.145762,-0.0228,0.0079,0.0686,0.073
4.157555,0.0525,-0.0099,0.0788,0.095
4.177841,0.0585,0.0133,-0.0679,0.091
4.197435,0.0577,-0.0013,-0.0665,0.088
4.227012,-0.008,0.033,0.0149,0.037
4.246301,-0.0078,-0.0413,-0.0454,0.062
4.257791,-0.0302,-0.0273,-0.0173,0.044
4.280519,0.0065,-0.0161,-0.0975,0.099
4.29932,0.025,0.0013,-0.0797,0.084
4.327992,0.0436,0.0061,0.0434,0.062
4.348468,0.0018,-0.0261,0.0683,0.073
4.360428,-0.0591,-0.0029,0.0113,0.06
4.380561,-0.0928,-0.0679,-0.0359,0.12
4.402019,-0.0749,-0.0312,-0.0756,0.111
4.431081,-0.0083,0.0065,0.008,0.013
4.451952,0.007,-0.0118,0.0754,0.077
4.462033,-0.0225,-0.0271,0.0889,0.096
4.481712,-0.0834,-0.0263,0.0473,0.099
4.502551,-0.0789,-0.0491,-0.0059,0.093
4.530592,0.0225,-0.0305,0.0004,0.038
4.551531,0.0497,-0.0183,-0.0645,0.084
4.56306,0.0437,0.01,-0.0674,0.081
4.583088,0.029,0.0473,-0.0443,0.071
4.603537,0.0463,0.0133,-0.0325,0.058
4.630891,0.0517,0.0069,-0.0229,0.057
4.651364,-0.0032,-0.0006,-0.0593,0.059
4.666324,-0.022,0.0302,-0.0537,0.065
4.684566,0.0382,0.0084,-0.037,0.054
4.70498,0.1087,0.0277,-0.0268,0.115
4.732099,-0.023,0.0631,0.0607,0.091
4.753222,0.0021,-0.0208,0.0571,0.061
4.766499,0.0142,-0.001,0.024,0.028
4.786925,0.0047,-0.0171,0.0324,0.037
4.808202,-0.0209,0.0098,0.0807,0.084
4.828313,-0.038,0.0157,-0.0166,0.044
4.852159,-0.0408,0.0124,-0.0199,0.047
4.869787,-0.0375,0.0011,-0.0276,0.047
4.890019,0.0245,-0.0045,-0.0173,0.03
4.908665,0.0258,-0.0338,0.0535,0.068
4.929223,-0.0457,-0.021,0.0654,0.082
4.951765,-0.0911,-0.0213,0.0016,0.094
4.97397,-0.0375,0.0037,-0.0832,0.091
4.990143,0.0456,0.0564,-0.0544,0.091
5.01008,0.0432,-0.0395,0.0305,0.066
5.031237,-0.0461,-0.0279,0.1363,0.147
5.053827,-0.0578,0.0094,0.0407,0.071
5.072424,-0.0046,0.0089,-0.0354,0.037
5.092294,0.0465,0.0307,-0.0854,0.102
5.112264,0.0579,0.0095,-0.0132,0.06
5.133304,0.0401,0.0146,0.0468,0.063
5.152966,0.0327,0.0222,0.0311,0.05
5.172592,0.0319,0.0213,-0.0401,0.056
5.196546,-0.0142,0.0035,-0.0684,0.07
5.213874,0.0051,0.0007,-0.0383,0.039
5.233953,0.0319,-0.0038,0.0686,0.076
5.255014,0.0501,0.0444,0.0877,0.11
5.27703,0.0487,0.0135,0.0168,0.053
5.298955,-0.0519,-0.0387,-0.0555,0.085
5.315097,-0.0679,-0.0216,-0.0485,0.086
5.336041,-0.0228,-0.0006,0.0024,0.023
5.356371,0.0454,0.0246,0.0691,0.086
5.377523,0.0546,0.0283,0.1005,0.118
5.400382,-0.0544,-0.031,-0.0313,0.07
5.417334,-0.1096,-0.0045,-0.101,0.149
5.437918,-0.0822,-0.0412,-0.1207,0.152
5.459233,-0.0255,0.0004,-0.1058,0.109
5.481823,0.0835,-0.0164,-0.0351,0.092
5.504018,-0.0128,0.0242,0.0204,0.034
5.52567,-0.0423,-0.0646,0.072,0.106
5.543532,-0.0436,-0.0476,0.0727,0.097
5.577897,-0.0397,-0.0086,0.0724,0.083
5.604499,0.0125,0.0063,0.0278,0.031
5.605537,0.0125,0.0063,0.0278,0.031
5.627096,0.0139,0.0244,-0.0368,0.046
5.644726,0.0303,-0.0155,-0.0645,0.073
5.679638,0.0257,0.0094,-0.0381,0.047
5.707945,0.0442,0.0026,0.0234,0.05
5.708635,0.0442,0.0026,0.0234,0.05
5.728241,0.0051,0.037,0.0877,0.095
5.746259,0.0274,0.0046,-0.0083,0.029
