time,gFx,gFy,gFz,TgF
15.042239,0.041,0.0304,-0.9836,0.98
15.062996,0.04,0.0313,-0.9836,0.98
15.087945,0.0366,0.0274,-0.9855,0.99
15.104498,0.0351,0.0289,-0.986,0.99
15.127225,0.0351,0.0279,-0.9855,0.99
15.154615,0.0356,0.0274,-0.9865,0.99
15.162678,0.0337,0.0284,-0.987,0.99
15.1856,0.0361,0.0284,-0.9865,0.99
15.203728,0.0337,0.0274,-0.987,0.99
15.228147,0.0356,0.0284,-0.9865,0.99
15.251602,0.0327,0.026,-0.9855,0.99
15.269803,0.0337,0.0289,-0.986,0.99
15.285681,0.0312,0.0284,-0.9845,0.99
15.311316,0.0298,0.0318,-0.988,0.99
15.326685,0.0293,0.0309,-0.9884,0.99
15.349476,0.0298,0.0309,-0.988,0.99
15.368113,0.0298,0.0318,-0.9855,0.99
15.385198,0.0307,0.0299,-0.9889,0.99
15.410797,0.0288,0.0304,-0.987,0.99
15.429697,0.0302,0.0299,-0.9826,0.98
15.449151,0.0312,0.0289,-0.986,0.99
15.469585,0.0312,0.0279,-0.987,0.99
15.493417,0.0298,0.0313,-0.9836,0.98
15.509794,0.0298,0.0309,-0.986,0.99
15.539344,0.0273,0.0294,-0.9899,0.99
15.551788,0.0298,0.0289,-0.9924,0.99
15.569598,0.0273,0.0304,-0.9894,0.99
15.592793,0.0239,0.0309,-0.987,0.99
15.608867,0.0268,0.0299,-0.984,0.98
15.638391,0.0302,0.0318,-0.9968,1
15.649277,0.0268,0.0338,-0.9963,1
15.676152,0.0361,0.0328,-0.965,0.97
15.691786,0.0361,0.0309,-0.9655,0.97
15.711652,0.0273,0.0299,-0.9738,0.97
15.733718,0.0214,0.0289,-0.9938,0.99
15.759835,0.018,0.0313,-1.0075,1.01
15.775643,0.018,0.0304,-1.0026,1
15.791812,0.0219,0.0304,-0.9938,0.99
15.816932,0.0224,0.0323,-0.9884,0.99
15.834078,0.0254,0.0313,-0.985,0.99
15.856339,0.0278,0.0304,-0.985,0.99
15.874828,0.0278,0.0333,-0.9875,0.99
15.899165,0.0263,0.0284,-0.9865,0.99
15.916568,0.0263,0.0289,-0.9889,0.99
15.932891,0.0298,0.0294,-0.9889,0.99
15.955729,0.0312,0.0338,-0.985,0.99
15.973405,0.0307,0.0318,-0.9816,0.98
16.000471,0.0298,0.0309,-0.9855,0.99
16.015404,0.0298,0.0294,-0.9894,0.99
16.046021,0.0322,0.0304,-0.9894,0.99
16.059,0.0322,0.0294,-0.9894,0.99
16.076926,0.0332,0.0309,-0.9875,0.99
16.096922,0.0332,0.0299,-0.9875,0.99
16.115522,0.039,0.0313,-0.9875,0.99
16.144158,0.041,0.0304,-0.986,0.99
16.155668,0.0395,0.0304,-0.987,0.99
16.180772,0.042,0.0294,-0.9826,0.98
16.197255,0.0395,0.0304,-0.985,0.99
16.223115,0.0425,0.0304,-0.9855,0.99
16.24363,0.0434,0.0313,-0.9767,0.98
16.263265,0.0415,0.0328,-0.9806,0.98
16.280835,0.0405,0.0304,-0.988,0.99
16.297522,0.0415,0.0304,-0.9924,0.99
16.322456,0.042,0.0289,-0.9914,0.99
16.344283,0.0439,0.0294,-0.988,0.99
16.36229,0.0449,0.0284,-0.987,0.99
16.381012,0.0478,0.0284,-0.987,0.99
16.406391,0.0483,0.0294,-0.9806,0.98
16.421313,0.0493,0.0279,-0.9811,0.98
16.442136,0.0522,0.0284,-0.9801,0.98
16.462666,0.0522,0.026,-0.9845,0.99
16.480382,0.0513,0.0274,-0.9826,0.98
16.504321,0.0513,0.0284,-0.984,0.99
16.521897,0.0493,0.0269,-0.985,0.99
16.542745,0.0552,0.0255,-0.9855,0.99
16.561305,0.0547,0.0289,-0.9914,0.99
16.587737,0.0571,0.0343,-0.9767,0.98
16.604206,0.0635,0.0309,-0.9581,0.96
16.621158,0.0576,0.0299,-0.9655,0.97
16.642312,0.0454,0.0255,-0.9865,0.99
16.662028,0.0449,0.026,-1.0021,1
16.687603,0.0459,0.0289,-0.9904,0.99
16.704663,0.0474,0.0294,-0.9821,0.98
16.728822,0.0493,0.0299,-0.9836,0.99
16.750788,0.0513,0.0289,-0.985,0.99
16.769155,0.0527,0.0269,-0.9826,0.98
16.785822,0.0518,0.0294,-0.986,0.99
16.803535,0.0488,0.0289,-0.9831,0.98
16.827701,0.0478,0.026,-0.9826,0.98
16.851185,0.0449,0.0289,-0.9889,0.99
16.864631,0.0449,0.0304,-0.9914,0.99
16.885487,0.0474,0.0289,-0.9821,0.98
16.910648,0.0464,0.0313,-0.9821,0.98
16.928073,0.0439,0.0289,-0.9831,0.98
16.949862,0.042,0.0274,-0.987,0.99
16.968432,0.043,0.0284,-0.9884,0.99
16.986236,0.0434,0.0284,-0.986,0.99
17.010775,0.042,0.0294,-0.9826,0.98
17.028357,0.0434,0.0309,-0.985,0.99
17.048527,0.0459,0.0294,-0.9884,0.99
17.067665,0.0434,0.0284,-0.9865,0.99
17.093911,0.041,0.0294,-0.986,0.99
17.11111,0.04,0.0284,-0.9811,0.98
17.135191,0.0381,0.0284,-0.9855,0.99
17.149429,0.0376,0.0289,-0.9875,0.99
17.176521,0.0356,0.0299,-0.984,0.99
17.192899,0.0346,0.0309,-0.986,0.99
17.211611,0.0351,0.0304,-0.9875,0.99
17.234371,0.0356,0.0299,-0.9894,0.99
17.258381,0.0346,0.0284,-0.988,0.99
17.275296,0.0342,0.0284,-0.988,0.99
17.293315,0.0342,0.0309,-0.9865,0.99
17.317412,0.0361,0.0304,-0.9855,0.99
17.33379,0.0356,0.0309,-0.986,0.99
17.356281,0.0346,0.0304,-0.9865,0.99
17.375476,0.0322,0.0279,-0.9919,0.99
17.392623,0.0322,0.0279,-0.9904,0.99
17.417109,0.0278,0.0304,-0.988,0.99
17.432614,0.0244,0.0294,-0.9845,0.99
17.454627,0.0332,0.0274,-0.9919,0.99
17.47394,0.0312,0.0304,-0.9997,1
17.500216,0.039,0.0338,-0.9708,0.97
17.516392,0.041,0.0299,-0.965,0.97
17.540989,0.0302,0.0294,-0.9748,0.98
17.553301,0.0249,0.0289,-0.984,0.98
17.574413,0.0219,0.0269,-0.9992,1
17.598999,0.0214,0.0309,-0.9972,1
17.616078,0.0229,0.0299,-0.9904,0.99
17.645734,0.0273,0.0318,-0.9855,0.99
17.656855,0.0302,0.0318,-0.985,0.99
17.681404,0.0307,0.0294,-0.9831,0.98
17.700166,0.0293,0.0309,-0.9855,0.99
17.716078,0.0268,0.0299,-0.9831,0.98
17.739792,0.0254,0.0279,-0.985,0.99
17.76161,0.0258,0.0294,-0.9928,0.99
17.781002,0.0268,0.0333,-0.986,0.99
17.797548,0.0283,0.0313,-0.984,0.98
17.82168,0.0283,0.0309,-0.9831,0.98
17.840848,0.0244,0.0299,-0.9904,0.99
17.861677,0.0234,0.0299,-0.9924,0.99
17.880826,0.0254,0.0289,-0.9928,0.99
17.905296,0.0268,0.0304,-0.9884,0.99
17.921456,0.0258,0.0304,-0.986,0.99
17.939635,0.0288,0.0299,-0.9884,0.99
