time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
6.007876,0.0358,-0.2966,0.9401,0.986
6.028366,1.2533,-0.2434,1.4192,1.909
6.048037,1.3709,-0.4368,1.4486,2.042
6.068942,0.3512,-0.3842,-0.184,0.552
6.089948,-0.2977,-0.5592,-1.0268,1.207
6.10864,-0.4583,-0.9128,-1.1675,1.551
6.128716,-0.5456,-1.0609,-1.0864,1.614
6.149012,-0.6858,-1.0885,-0.9215,1.582
6.169387,-1.0521,-0.8978,-0.4352,1.45
6.189856,-1.5524,-0.5074,-0.1338,1.639
6.210386,-1.7511,-0.3147,0.0089,1.779
6.230646,-1.7359,-0.2835,-0.0706,1.76
6.251209,-1.2646,-0.4928,-0.0998,1.361
6.278393,-0.6431,-0.3432,0.0113,0.729
6.295494,-0.5657,0.2827,-0.1213,0.644
6.312043,-0.466,0.9007,-0.213,1.036
6.33288,-0.0719,1.5499,-0.2711,1.575
6.352412,0.0709,1.561,-0.5089,1.643
6.379083,0.2441,0.7031,-0.4292,0.859
6.394311,0.0985,0.045,0.1117,0.156
6.413743,-0.4247,-0.5938,0.5485,0.913
6.432907,-0.7448,-0.8454,0.7807,1.371
6.454471,-0.7221,-0.9099,0.4817,1.257
6.478185,-1.1849,-0.5098,-0.4951,1.382
6.494559,-0.9064,-0.3382,-0.861,1.295
6.514427,-0.634,-0.454,-1.1269,1.37
6.53503,-0.6947,-0.6207,-1.4257,1.703
6.554736,-0.6905,-0.7853,-1.6097,1.92
6.584039,-0.3734,-0.4733,-1.5696,1.681
6.599206,-0.0619,-0.2557,-1.5656,1.588
6.615445,0.1024,-0.1518,-1.4959,1.507
6.636659,0.2747,-0.1688,-1.3641,1.402
6.65682,0.375,-0.2114,-1.2924,1.362
6.683423,0.4415,0.064,-1.3533,1.425
6.703743,1.0389,0.4339,-0.975,1.489
6.717092,1.7362,1.162,-0.2023,2.099
6.737503,2.554,1.1589,-0.5499,2.858
6.75861,1.4157,-1.8775,-0.2721,2.367
6.785402,1.4369,-3.9549,1.2811,4.399
6.798642,2.5551,-2.9712,0.2948,3.93
6.820465,3.0755,-1.7321,0.4063,3.553
6.839837,3.1924,-1.2374,0.6192,3.479
6.86057,4.0169,-1.005,1.6993,4.476
6.882675,2.9274,-0.6836,2.0051,3.614
6.899989,1.6089,-0.2122,1.4283,2.162
6.921129,-0.4057,0.0391,0.9857,1.067
6.940613,-1.1822,0.2097,1.2653,1.744
6.961142,-1.2818,0.1949,1.0315,1.657
6.981062,-0.9947,0.5626,0.7592,1.372
7.000811,-0.6272,1.1788,0.9326,1.629
7.021137,-0.3474,1.1292,0.3116,1.222
7.042628,-0.1879,0.9866,-1.1138,1.5
7.062808,-0.6174,0.5467,-1.8047,1.984
7.083272,-1.4893,-0.0366,-1.3389,2.003
7.103102,-2.5134,-0.105,-0.8789,2.665
7.123517,-3.0433,0.1829,-0.0448,3.049
